Latitude Longitude Elevation Landcover
3547029.909 5608294.595 381.36400000000003 Wood
3548029.909 5608294.595 433.85699999999997 Wood
3545029.909 5607294.595 251.611 Crops
3546029.909 5607294.595 279.275 Grassland
3547029.909 5607294.595 340.42699999999996 Wood
3548029.909 5607294.595 411.522 Wood
3545029.909 5606294.595 343.858 Wood
3546029.909 5606294.595 249.668 Crops
3547029.909 5606294.595 299.705 Wood
3548029.909 5606294.595 383.348 Wood
3549029.909 5606294.595 399.145 Wood
3545029.909 5605294.595 298.434 Grassland
3546029.909 5605294.595 276.25 Cities_Other
3547029.909 5605294.595 358.371 Wood
3548029.909 5605294.595 298.41700000000003 Wood
3549029.909 5605294.595 340.541 Wood
3544029.909 5604294.595 314.186 Crops
3545029.909 5604294.595 249.878 Grassland
3546029.909 5604294.595 320.414 Cities_Other
3547029.909 5604294.595 332.44300000000004 Cities_Other
3548029.909 5604294.595 268.431 Crops
3549029.909 5604294.595 310.573 Crops
3550029.909 5604294.595 344.795 Crops
3544029.909 5603294.595 296.68 Crops
3545029.909 5603294.595 255.266 Cities_Other
3546029.909 5603294.595 243.878 Grassland
3547029.909 5603294.595 260.732 Cities_Other
3548029.909 5603294.595 279.075 Cities_Other
3549029.909 5603294.595 299.653 Cities_Other
3550029.909 5603294.595 336.793 Cities_Other
3544029.909 5602294.595 351.75 Crops
3545029.909 5602294.595 296.966 Crops
3546029.909 5602294.595 288.83 Cities_Other
3547029.909 5602294.595 257.983 Cities_Other
3548029.909 5602294.595 266.767 Cities_Other
3549029.909 5602294.595 287.315 Cities_Other
3550029.909 5602294.595 333.35900000000004 Cities_Other
3551029.909 5602294.595 356.645 Cities_Other
3552029.909 5602294.595 342.115 Crops
3543029.909 5601294.595 378.856 Wood
3544029.909 5601294.595 288.803 Crops
3545029.909 5601294.595 278.007 Crops
3546029.909 5601294.595 290.704 Crops
3547029.909 5601294.595 253.192 Cities_Other
3548029.909 5601294.595 256.55 Cities_Other
3549029.909 5601294.595 277.728 Cities_Other
3550029.909 5601294.595 314.551 Cities_Other
3551029.909 5601294.595 306.377 Crops
3552029.909 5601294.595 349.525 Crops
3540029.909 5600294.595 392.722 Wood
3541029.909 5600294.595 351.17800000000005 Grassland
3542029.909 5600294.595 323.366 Crops
3543029.909 5600294.595 306.267 Crops
3544029.909 5600294.595 317.8 Crops
3545029.909 5600294.595 297.256 Crops
3546029.909 5600294.595 285.875 Cities_Other
3547029.909 5600294.595 254.611 Grassland
3548029.909 5600294.595 256.816 Cities_Other
